Name Pomani
Depth	Vp	Vs	Density	Temperature
0	1758.5	367.732	2040	281
50	1780.5	391.576	2040	283.7406
100	1802.5	418.018	2040	286.4811
150	1824.5	447.509	2040	289.2217
200	1846.5	480.608	2040	291.9622
250	1868.5	518.019	2040	294.1218
300	1890.5	560.645	2040	296.2813
350	1912.5	609.658	2040	298.4409
400	1934.5	644.832	2040	300.6005
450	1956.5	652.165	2040	302.2587
500	1978.5	659.499	2040	303.9169
550	2000.5	666.832	2040	305.575
600	2022.5	674.165	2040	307.2332
650	2044.5	681.499	2040	308.7673
700	2066.5	688.832	2040	310.3014
750	2088.5	696.165	2040	311.8354
800	2110.5	703.499	2040	313.3695
850	2132.5	710.832	2040	314.8238
900	2154.5	718.165	2040	316.278
950	2176.5	725.499	2040	317.7323
1000	2198.5	732.832	2040	319.1865
1050	2220.5	740.165	2040	320.6821
1100	2242.5	747.499	2040	322.1778
1150	2240.32	700.099	2040	323.6734
1200	2250.82	703.38	2040	325.169
1250	2261.32	706.661	2040	326.6882
1300	2271.82	709.942	2040	328.2073
1350	2282.32	713.224	2040	329.7265
1400	2292.82	716.505	2040	331.2456
1450	2303.32	719.786	2040	332.8767
1500	2313.82	723.067	2040	334.5077
1550	2324.32	726.349	2040	336.1388
1600	3726.8	1837.25	2425	337.7698
1650	3101.23	1557.04	2317.2	339.6797
1700	3123.73	1573.74	2324.2	341.5896
1750	3146.23	1590.44	2331.2	343.4995
1800	3168.73	1607.15	2338.1	345.4095
1850	3191.23	1623.85	2344.9	347.4427
1900	3213.73	1640.55	2351.6	349.4759
1950	3236.23	1657.25	2358.2	351.5092
2000	3258.73	1673.95	2364.7	353.5424
2050	3281.23	1690.65	2371.1	355.2864
2100	3303.73	1707.36	2377.4	357.0303
2150	3326.23	1724.06	2383.6	358.7742
2200	3348.73	1740.76	2389.8	360.5182
2250	3371.23	1757.46	2395.9	361.9162
2300	3393.73	1774.16	2401.9	363.3143
2350	3416.23	1790.86	2407.8	364.7123
2400	3438.73	1807.57	2413.6	366.1104
2450	3461.23	1824.27	2419.4	367.4448
2500	3483.73	1840.97	2425.1	368.7792
2550	3506.23	1857.67	2430.7	370.1137
2600	3528.73	1874.37	2436.2	371.4481
2650	3551.23	1891.07	2441.7	372.7608
2700	3573.73	1907.78	2447.1	374.074
2750	3596.23	1924.48	2452.4	375.386
2800	3618.73	1941.18	2457.7	376.699
2850	3641.23	1957.88	2462.9	378.012
2900	3663.73	1974.58	2468.1	379.325
2950	3686.23	1991.29	2473.1	380.639
3000	3708.73	2007.99	2478.2	381.952
3050	3731.23	2024.69	2483.1	383.266
3100	4816.33	2830.16	2667.2	384.58
3150	4835.33	2844.27	2669.6	385.895
3200	4854.33	2858.37	2672.1	387.209
3250	4873.33	2872.47	2674.6	388.549
3300	4892.33	2886.58	2677	389.889
3350	4911.33	2900.68	2679.4	391.229
3400	4930.33	2914.78	2681.8	392.568
3450	4949.33	2928.89	2684.2	393.899
3500	4968.33	2942.99	2686.5	395.229
3550	4992.73	2961.1	2689.5	396.559
3600	5012.73	2975.94	2691.9	397.889
3650	5032.73	2990.79	2694.4	399.224
3700	5052.73	3005.64	2696.8	400.558
3750	5072.73	3020.48	2699.1	401.892
3800	5092.73	3035.33	2701.5	403.227
3850	5112.73	3050.17	2703.8	404.586
3900	5132.73	3065.02	2706.2	405.946
3950	5152.73	3079.87	2708.5	407.306
4000	4485.05	2599.74	2570.3	408.666
4050	4489.16	2614.14	2650	410.128
4100	4502.16	2626.19	2650	411.59
4150	4515.16	2638.24	2650	413.053
4200	4528.16	2650.29	2650	414.515
4250	4541.16	2662.34	2650	416.075
4300	4554.16	2674.4	2650	417.635
4350	4567.16	2686.45	2650	419.195
4400	4580.16	2698.5	2650	420.755
4450	4593.16	2710.55	2650	422.289
4500	4606.16	2722.6	2650	423.823
4550	4619.16	2734.65	2650	425.357
4600	4632.16	2746.7	2650	426.891
4650	4645.16	2758.75	2650	428.401
4700	4658.16	2770.8	2650	429.911
4750	4671.16	2782.85	2650	431.421
4800	4684.16	2794.91	2650	432.931
4850	4697.16	2806.96	2650	434.418
4900	4710.16	2819.01	2650	435.905
4950	4723.16	2831.06	2650	437.392
5000	4736.16	2843.11	2650	438.879
5050	4749.16	2855.16	2650	440.344
5100	4762.16	2867.21	2650	441.809
5150	4775.16	2879.26	2650	443.275
5200	4788.16	2891.31	2650	444.74
5250	4801.16	2903.36	2650	446.184
5300	4814.16	2915.42	2650	447.629
5350	4827.16	2927.47	2650	449.073
5400	4840.16	2939.52	2650	450.517
5450	4853.16	2951.57	2650	451.941
5500	4866.16	2963.62	2650	453.365
5550	4879.16	2975.67	2650	454.789
5600	4892.16	2987.72	2650	456.213
5650	4905.16	2999.77	2650	457.816
5700	4918.16	3011.82	2650	459.42
5750	4931.16	3023.87	2650	461.023
5800	4944.16	3035.93	2650	462.626
5850	4957.16	3047.98	2650	464.688
5900	4970.16	3060.03	2650	466.75
5950	4983.16	3072.08	2650	468.811
6000	4996.16	3084.13	2650	470.873
6050	5009.16	3096.18	2650	473.198
6100	5022.16	3108.23	2650	475.522
6150	5035.16	3120.28	2650	477.846
6200	5048.16	3132.33	2650	480.171
6250	5812.5	3840.87	2650	482.485
6300	5815	3843.19	2650	484.8
6350	5817.5	3845.51	2650	487.114
6400	5820	3847.83	2650	489.428
6450	5822.5	3850.14	2650	491.729
6500	5825	3852.46	2650	494.03
6550	5827.5	3854.78	2650	496.331
6600	5830	3857.1	2650	498.632
6650	5045.4	2776.25	2869.1	500.921
6700	5049.87	2778.71	2869.1	503.209
6750	5054.33	2781.17	2869.1	505.497
6800	5058.8	2783.63	2869.1	507.785
6850	5063.27	2786.08	2869.1	510.051
6900	5067.73	2788.54	2869.1	512.316
6950	5072.2	2791	2869.1	514.581
7000	5381.97	2793.45	2869.1	516.847
7050	5387.62	2796.39	2869.1	518.424
7100	5393.27	2799.32	2869.1	520.001
7150	5398.92	2802.26	2869.1	521.578
7200	5404.57	2805.19	2869.1	523.155
7250	5410.23	2808.12	2869.1	523.933
7300	5415.88	2811.06	2869.1	524.711
7350	5421.53	2813.99	2869.1	525.489
7400	5427.18	2816.92	2869.1	526.266
7450	5432.83	2819.86	2869.1	526.987
7500	5438.48	2822.79	2869.1	527.708
7550	5444.14	2825.72	2869.1	528.429
7600	5449.79	2828.66	2869.1	529.15
7650	5455.44	2831.59	2869.1	530.094
7700	5461.09	2834.52	2869.1	531.039
7750	5466.74	2837.46	2869.1	531.983
7800	5472.4	2840.39	2869.1	532.927
7850	5478.05	2843.32	2869.1	534.035
7900	5483.7	2846.26	2869.1	535.143
7950	5489.35	2849.19	2869.1	536.251
8000	5495	2852.13	2869.1	537.359
8050	5501.14	2855.31	2869.1	538.479
8100	5507.28	2858.5	2869.1	539.599
8150	5513.42	2861.68	2869.1	540.719
8200	5519.55	2864.87	2869.1	541.839
8250	5525.69	2868.05	2869.1	542.956
8300	5531.83	2871.24	2869.1	544.072
8350	5537.96	2874.42	2869.1	545.188
8400	5544.1	2877.61	2869.1	546.305
8450	5550.24	2880.79	2869.1	547.417
8500	5556.38	2883.98	2869.1	548.53
8550	5562.51	2887.17	2869.1	549.642
8600	5568.65	2890.35	2869.1	550.755
8650	5574.79	2893.54	2869.1	551.863
8700	5580.92	2896.72	2869.1	552.972
8750	5587.06	2899.91	2869.1	554.08
8800	5593.2	2903.09	2869.1	555.189
8850	5599.34	2906.28	2869.1	556.293
8900	5605.47	2909.46	2869.1	557.398
8950	5611.61	2912.65	2869.1	558.502
9000	5617.75	2915.84	2869.1	559.607
9050	5624.19	2919.18	2869.1	560.707
9100	5630.64	2922.52	2869.1	561.807
9150	5637.08	2925.87	2869.1	562.907
9200	5643.53	2929.21	2869.1	564.008
9250	5649.97	2932.56	2869.1	565.104
9300	5656.42	2935.9	2869.1	566.2
9350	5662.86	2939.25	2869.1	567.296
9400	5669.3	2942.59	2869.1	568.392
9450	5675.75	2945.94	2869.1	569.484
9500	5682.19	2949.28	2869.1	570.575
9550	5688.64	2952.63	2869.1	571.667
9600	5695.08	2955.97	2869.1	572.759
9650	5701.53	2959.32	2869.1	573.847
9700	5707.97	2962.66	2996.5	574.934
9750	5714.42	2966.01	2996.5	576.021
9800	5720.86	2969.35	2996.5	577.109
9850	5727.3	2972.7	2996.5	578.192
9900	5733.75	2976.04	2996.5	579.275
9950	5740.19	2979.39	2996.5	580.358
10000	5229.7	2982.73	2996.6	581.441
10050	5235.63	2986.12	2996.6	581.964
10100	5241.56	2989.5	2996.6	582.487
10150	5247.49	2992.88	2996.6	583.009
10200	5253.42	2996.26	2996.6	583.532
10250	5259.35	2999.64	2996.6	584.054
10300	5265.28	3003.02	2996.7	584.577
10350	5271.21	3006.41	2996.7	585.1
10400	5277.14	3009.79	2996.7	585.622
10450	5283.07	3013.17	2996.7	586.145
10500	5289	3016.55	2996.7	586.667
10550	5294.93	3019.93	2996.7	587.19
10600	5300.86	3023.32	2996.7	587.713
10650	5306.79	3026.7	2996.8	588.235
10700	5312.71	3030.08	2996.8	588.758
10750	5318.64	3033.46	2996.8	589.28
10800	5324.57	3036.84	2996.8	589.803
10850	5330.5	3040.23	2996.8	590.326
10900	5336.43	3043.61	2996.8	590.848
10950	5342.36	3046.99	2996.9	591.371
11000	5348.29	3050.37	2996.9	591.893
11050	5352.91	3053	2996.9	592.416
11100	5357.52	3055.63	2996.9	592.938
11150	5362.13	3058.27	2996.9	593.461
11200	5366.75	3060.9	2996.9	593.984
11250	5371.36	3063.53	2996.9	594.506
11300	5375.98	3066.16	2997	595.029
11350	5380.59	3068.79	2997	595.551
11400	5385.21	3071.43	2997	596.074
11450	5389.82	3074.06	2997	596.597
11500	5394.44	3076.69	2997	597.119
11550	5399.05	3079.32	2997	597.642
11600	5403.66	3081.95	2997.1	598.164
11650	5408.28	3084.58	2997.1	598.687
11700	5412.89	3087.22	2997.1	599.21
11750	5417.51	3089.85	2997.1	599.732
11800	5422.12	3092.48	2997.1	600.255
11850	5426.74	3095.11	2997.1	600.777
11900	5431.35	3097.74	2997.1	601.3
11950	5435.96	3100.37	2997.2	601.823
12000	5440.58	3103.01	2997.2	602.345
12500	5485.66	3128.72	2997.3	607.571
13000	5530.74	3154.43	2997.5	612.797
13500	5577.18	3180.92	2997.6	618.023
14000	5623.62	3207.4	2997.8	623.249
14500	5670.26	3234	2997.9	628.475
15000	5716.89	3260.6	2998.1	636.586
15500	5751.17	3280.15	2998.2	645.418
16000	5785.45	3299.7	2998.4	654.251
16500	5808.83	3313.04	2998.6	663.083
17000	5832.21	3326.37	2998.7	671.915
17500	5845.63	3334.03	2998.9	680.748
18000	5859.05	3341.68	2999	687.827
18500	5866.95	3346.19	2999.2	694.467
19000	5874.86	3350.7	2999.3	701.107
19500	5882.79	3355.22	2999.5	707.747
20000	5890.73	3359.75	2999.6	714.388
20500	5898.78	3364.34	2999.8	721.028
21000	5906.84	3368.93	2999.9	726.992
21500	5914.89	3373.53	3000.1	732.786
22000	5922.94	3378.12	3000.2	738.581
22500	5947.27	3392	3000.4	744.376
23000	5971.6	3405.87	3000.5	750.17
23500	5995.93	3419.75	3000.7	755.965
24000	6020.26	3433.63	3000.8	761.544
24500	6044.59	3447.5	3001	767.069
25000	6068.92	3461.38	3001.2	772.594
25500	6154.68	3510.29	3001.3	778.119
26000	6240.45	3559.21	3001.5	783.644
26500	6338.5	3615.13	3001.6	789.169
27000	6436.56	3671.06	3001.8	794.332
27500	6549.65	3735.56	3001.9	799.405
28000	6662.74	3800.06	3002.1	804.477
28500	6769.22	3860.79	3002.2	809.549
29000	6875.71	3921.53	3002.4	814.621
29500	6982.19	3982.26	3002.5	819.693
30000	7088.68	4042.99	3002.7	824.633
30500	7157.72	4082.37	3298.8	829.538
31000	7226.77	4121.75	3284.6	834.444
31500	7295.82	4161.13	3284.7	839.35
32000	7509.58	4200.51	3284.9	844.255
32500	7566.53	4232.36	3285	849.161
33000	7623.47	4264.22	3285.2	854.082
33500	7674.83	4292.95	3285.3	859.007
34000	7726.2	4321.68	3285.5	863.931
34500	7764.85	4343.29	3285.6	868.856
35000	7803.49	4364.91	3285.8	873.781
35500	7836.11	4383.15	3285.9	878.705
36000	7868.72	4401.4	3286.1	883.638
36500	7890.77	4413.73	3286.3	888.573
37000	7912.82	4426.07	3286.4	893.508
37500	7934.87	4438.4	3286.6	898.443
38000	7956.93	4450.74	3286.7	903.378
38500	7970.91	4458.56	3286.9	908.313
39000	7984.9	4466.38	3287	913.25
39500	7998.88	4474.2	3287.2	918.188
