Upper Mantle Liquidus by Herzberg and Zhang 1996
# Herzberg, C., & Zhang, J. (1996). Melting experiments on anhydrous peridotite KLB‐1: Compositions of magmas in the upper mantle and transition zone. Journal of Geophysical Research: Solid Earth, 101(B4), 8271-8295
# digitised after Andrault at al 2018
Pressure Temperature
Pressure	Liquidus
0	1979.42
26000000	1980.69
416300000	1999.65
702500000	2013.43
1248900000	2039.13
1274900000	2040.33
1717300000	2060.23
2185600000	2080.84
2497800000	2094.65
2758000000	2106.31
3356500000	2133.37
3850800000	2155.56
3928900000	2159.02
4683400000	2191.5
5307900000	2216.46
5542100000	2225.25
6504800000	2258.45
6738900000	2265.84
7883800000	2298.77
7961800000	2301
9236800000	2336.63
9523000000	2343.34
10329600000	2358.02
11188200000	2371.98
11682600000	2379.42
12567200000	2390.01
12905500000	2392.59
14050300000	2402.47
14570700000	2414.67
15351300000	2438.68
16027800000	2460.43
16704200000	2481.48
17406800000	2502.18
18109300000	2522.63
19306200000	2558.54
19644400000	2568.72
21101500000	2611.52
21127500000	2612.27
22454500000	2649.38
22922800000	2661.52
23365100000	2672.43
24093700000	2690.53
24874200000	2709.92
26201200000	2741.12
27424100000	2768.05
28959200000	2800.33
29817900000	2817.92

