Name PREM
Citation Dziewonski, A. M., & Anderson, D. L. (1981). Preliminary reference Earth model. Physics of the Earth and Planetary Interiors, 25(4), 297-356
Depth	Vp	Vs	Density	ShearQualityFactor	BulkQualityFactor	Pressure
# m, m/sec, m/sec, kg/m3, 1, 1, Pa
0	1450	0	1020	0	57823	0
3000	1450	0	1020	0	57823	0
3000	5800	3200	2600	600	57823	          0 crustupper
15000	5800	3200	2600	600	57823	  300000000
15000	6800	3900	2900	600	57823	  300000000 crustmiddle
24400	6800	3900	2900	600	57823	  600000000
24400	8110	4490	3380	600	57823	  600000000 Moho
71000	8080	4470	3380	600	57823	 2200000000
80000	8080	4470	3370	600	57823	 2500000000
80000	8080	4470	3370	80	57823	 2500000000
171000	8020	4440	3360	80	57823	 5500000000
220000	7990	4420	3360	80	57823	 7100000000
220000	8560	4620	3440	143	57823	 7100000000
271000	8660	4680	3470	143	57823	 8900000000
371000	8850	4750	3530	143	57823	12300000000
400000	8910	4770	3540	143	57823	13400000000
400000	9130	4930	3720	143	57823	13400000000
471000	9500	5140	3810	143	57823	16000000000
571000	10010	5430	3940	143	57823	19900000000
600000	10160	5520	3980	143	57823	21000000000
600000	10160	5520	3980	143	57823	21000000000
670000	10270	5570	3990	143	57823	23800000000
670000	10750	5950	4380	312	57823	23800000000
771000	11070	6240	4440	312	57823	28300000000
871000	11240	6310	4500	312	57823	32800000000
971000	11420	6380	4560	312	57823	37300000000
1071000	11580	6440	4620	312	57823	41900000000
1171000	11780	6500	4680	312	57823	46500000000
1271000	11880	6560	4730	312	57823	51200000000
1371000	12020	6620	4790	312	57823	55900000000
1471000	12160	6670	4840	312	57823	60700000000
1571000	12290	6730	4900	312	57823	65500000000
1671000	12420	6780	4950	312	57823	70400000000
1771000	12540	6830	5000	312	57823	75400000000
1871000	12670	6870	5050	312	57823	80400000000
1971000	12780	6920	5110	312	57823	85500000000
2071000	12900	6970	5160	312	57823	90600000000
2171000	13020	7010	5210	312	57823	95800000000
2271000	13130	7060	5260	312	57823	101100000000
2371000	13250	7100	5310	312	57823	106400000000
2471000	13360	7140	5360	312	57823	111900000000
2571000	13480	7190	5410	312	57823	117400000000
2671000	13600	7230	5460	312	57823	123000000000
2741000	13680	7270	5490	312	57823	127000000000
2771000	13690	7270	5510	312	57823	128800000000
2871000	13710	7260	5560	312	57823	134600000000
2891000	13720	7260	5570	312	57823	135800000000
2891000	8060	0	9900	0	57823	135800000000
2971000	8200	0	10030	0	57823	144200000000
3071000	8360	0	10180	0	57823	154800000000
3171000	8510	0	10330	0	57823	165200000000
3271000	8660	0	10470	0	57823	175500000000
3371000	8800	0	10600	0	57823	185700000000
3471000	8930	0	10730	0	57823	195800000000
3571000	9050	0	10850	0	57823	205700000000
3671000	9170	0	10970	0	57823	215400000000
3771000	9280	0	11080	0	57823	224900000000
3871000	9380	0	11190	0	57823	234200000000
3971000	9480	0	11290	0	57823	243300000000
4071000	9580	0	11390	0	57823	252200000000
4171000	9670	0	11480	0	57823	260800000000
4271000	9750	0	11570	0	57823	269100000000
4371000	9840	0	11650	0	57823	277100000000
4471000	9910	0	11730	0	57823	284900000000
4571000	9990	0	11810	0	57823	292300000000
4671000	10060	0	11880	0	57823	299500000000
4771000	10120	0	11950	0	57823	306200000000
4871000	10190	0	12010	0	57823	312700000000
4971000	10250	0	12070	0	57823	318900000000
5071000	10310	0	12120	0	57823	324700000000
5149500	10360	0	12170	0	57823	329000000000
5149500	11030	3500	12760	84.6	57823	329000000000
5171000	11040	3510	12770	84.6	57823	330200000000
5271000	11070	3540	12820	84.6	57823	335500000000
5371000	11110	3560	12870	84.6	57823	340400000000
5471000	11140	3580	12910	84.6	57823	344800000000
5571000	11160	3600	12950	84.6	57823	348800000000
5671000	11190	3610	12980	84.6	57823	352200000000
5771000	11210	3630	13010	84.6	57823	355400000000
5871000	11220	3640	13030	84.6	57823	358000000000
5971000	11240	3650	13050	84.6	57823	360200000000
6071000	11250	3660	13070	84.6	57823	361800000000
6171000	11260	3660	13080	84.6	57823	363000000000
6271000	11260	3670	13090	84.6	57823	363700000000
6371000	11260	3670	13090	84.6	57823	364000000000

