Upper Mantle Solidus by Anrault et al (2018)
# Andrault, D., Pesce, G., Manthilake, G. et al. Deep and persistent melt layer in the Archaean mantle. Nature Geosci 11, 139–143 (2018).
Pressure	Solidus
# Pa, K
0	1371.21
26000000	1375.31
416300000	1439.51
702500000	1488.89
1248900000	1553.09
1274900000	1556.52
1717300000	1618.93
2185600000	1660.08
2497800000	1691.78
2758000000	1716.05
3356500000	1752.26
3850800000	1785.25
3928900000	1790.12
4683400000	1827.98
5307900000	1853.94
5542100000	1862.55
6504800000	1890.53
6738900000	1896.4
7883800000	1924.76
7961800000	1926.75
9236800000	1960.35
9523000000	1967.9
10329600000	1988.76
11188200000	2010.7
11682600000	2023.39
12567200000	2045.27
12905500000	2053.27
14050300000	2079.64
14570700000	2091.36
15351300000	2108.48
16027800000	2122.63
16704200000	2136.28
17406800000	2150.62
18109300000	2165.33
19306200000	2190.12
19644400000	2196.87
21101500000	2224.22
21127500000	2224.69
22454500000	2247.92
22922800000	2255.97
23365100000	2263.55
24093700000	2275.94
24874200000	2288.89
26201200000	2310.29
27424100000	2333.33
28959200000	2358.02
29817900000	2372.84

