Model ak135-f - spherical average structure
# Kennett B.L.N., Engdahl E.R. & Buland R. (1995) Constraints on seismic velocities in the earth from travel times Geophys. J. Int, 122, 108-124
# Montagner J.P. & Kennett B.L.N. (1995) How to reconcile body-wave and normal-mode reference Earth models? Geophys. J. Int., 125, 229-248
Depth	Vp	Vs	Density	ShearQualityFactor	BulkQualityFactor
# m, m/sec, m/sec, kg/m3, 1, 1
0	1450	0	1020	57822	0
3000	1450	0	1020	57822	0
3000	1650	1000	2000	163.35	80
3300	1650	1000	2000	163.35	80
3300	5800	3200	2600	1478.3	599.99
10000	5800	3200	2600	1478.3	599.99
10000	6800	3900	2920	1368.02	599.99
18000	6800	3900	2920	1368.02	599.99
18000	8035.5	4483.9	3641	950.5	394.62
43000	8037.9	4485.6	3580.1	972.77	403.93
80000	8040	4480	3502	1008.71	417.59
80000	8045	4490	3502	182.03	75.6
120000	8050.5	4500	3426.8	182.57	76.06
120000	8050.5	4500	3426.8	182.57	76.06
165000	8175	4509	3371.1	188.72	76.55
210000	8300.7	4518.4	3324.3	200.97	79.4
210000	8300.7	4518.4	3324.3	338.47	133.72
260000	8482.2	4609.4	3366.3	346.37	136.38
310000	8665	4696.4	3411	355.85	139.38
360000	8847.6	4783.2	3457.7	366.34	142.76
410000	9030.2	4870.2	3506.8	377.93	146.57
410000	9360.1	5080.6	3931.7	413.66	162.5
460000	9528	5186.4	3927.3	417.32	164.87
510000	9696.2	5292.2	3923.3	419.94	166.8
560000	9864	5398.9	3921.8	422.55	168.78
610000	10032	5504.7	3920.6	425.51	170.82
660000	10200	5610.4	3920.1	428.69	172.93
660000	10790.9	5960.7	4238.7	1350.54	549.45
710000	10922.2	6089.8	4298.6	1311.17	543.48
760000	11055.3	6210	4356.5	1277.93	537.63
809500	11135.5	6242.4	4411.8	1269.44	531.91
859000	11222.8	6279.9	4465	1260.68	526.32
908500	11306.8	6316.4	4516.2	1251.69	520.83
958000	11389.7	6351.9	4565.4	1243.02	515.46
1007500	11470.4	6386	4592.6	1234.54	510.2
1057000	11549.3	6418.2	4619.8	1226.52	505.05
1106500	11626.5	6451.4	4646.7	1217.91	500
1156000	11702	6482.2	4673.5	1210.02	495.05
1205500	11776.8	6513.1	4700.1	1202.04	490.2
1255000	11849.1	6543.1	4726.6	1193.99	485.44
1304500	11920.8	6572.8	4752.8	1186.06	480.77
1354000	11989.1	6600.9	4779	1178.19	476.19
1403500	12057.1	6628.5	4805	1170.53	471.7
1453000	12124.7	6655.4	4830.7	1163.16	467.29
1502500	12191.2	6681.3	4856.2	1156.04	462.96
1552000	12255.8	6707	4881.7	1148.76	458.72
1601500	12318.1	6732.3	4906.9	1141.32	454.55
1651000	12381.3	6757.9	4932.1	1134.01	450.45
1700500	12442.7	6782	4957	1127.02	446.43
1750000	12503	6805.6	4981.7	1120.09	442.48
1799500	12563.8	6828.9	5006.2	1108.58	436.68
1849000	12622.6	6851.7	5030.6	1097.16	431.03
1898500	12680.7	6874.3	5054.8	1085.97	425.53
1948000	12738.4	6897.2	5078.9	1070.38	418.41
1997500	12795.6	6919.4	5102.7	1064.23	414.94
2047000	12852.4	6941.6	5126.4	1058.03	411.52
2096500	12909.3	6962.5	5149.9	1048.09	406.5
2146000	12966.3	6985.2	5173.2	1042.07	403.23
2195500	13022.6	7006.9	5196.3	1032.14	398.41
2245000	13078.6	7028.6	5219.2	1018.38	392.16
